site,elevation,focal.species,background.species,pair,origin.focal,origin.background,origin.pair,type,surv.int,surv.slope,surv.sd.global,n.survival,growth.int,growth.slope,growth.slope.qudratic,growth.sd.global,n.growth,growth.sd,growth.sd.int,growth.sd.slope,n.growth.sd,flowering.int,flowering.slope,flowering.sd.global,n.flowering,fecundity.int,fecundity.slope,fecundity.sd.global,n.fecundity,germination.prob,germination.sd.global,n.germination,establishment.funiche.int,establishment.funiche.sd.global,n.establishment.funiche,establishment.comp.int,establishment.comp.sd.global,n.establishment.comp,seedling.size.mean,seedling.size.sd,n.seedling.size,L,U,n.size.range,pgr,comment,bootstrap
Anzeindaz,1900,Anal,Anal,yes,Highland,Highland,Highland_Highland,Current,-1.770542446,-0.129931594,1.060395291,24,2.057445592,0.835103553,NA,0.697108083,4,0.34917113,NA,NA,NA,-2.286650605,3.541562925,NA,24,3.888357844,1.107629151,NA,3,0.091928251,NA,20,0.277631737,NA,20,1.343734747,NA,14,-3.091460995,0.864587193,40,-4.767689115,2.001542505,24,0.620792712,NA,0
Anzeindaz,1900,Anal,Armo,NA,Highland,Highland,Highland_Highland,Current,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Anzeindaz,1900,Anal,Asal,yes,Highland,Highland,Highland_Highland,Current,35.47343075,14.81769099,1.060395291,17,2.678708713,0.708322286,NA,0.697108083,11,0.359663768,NA,NA,NA,-1.911415099,3.541562925,NA,25,3.888357844,1.107629151,NA,10,0.091928251,NA,20,0.277631737,NA,20,20.56606838,NA,10,-3.091460995,0.864587193,40,-4.767689115,3.242158943,25,2.038025559,NA,0
Anzeindaz,1900,Anal,Plal,NA,Highland,Highland,Highland_Highland,Current,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Anzeindaz,1900,Anal,Poal,yes,Highland,Highland,Highland_Highland,Current,0.28005161,-0.350128011,1.060395291,27,2.588152909,0.578035788,NA,0.697108083,14,0.6465537,NA,NA,NA,-4.904661067,3.541562925,NA,27,3.888357844,1.107629151,NA,11,0.091928251,NA,20,0.277631737,NA,20,20.56606838,NA,4,-3.091460995,0.864587193,40,-4.767689115,4.140235237,27,3.535830023,NA,0
Anzeindaz,1900,Anal,Seca,yes,Highland,Highland,Highland_Highland,Current,7.82632105,3.302863966,1.060395291,18,3.126528944,0.747617984,NA,0.697108083,12,0.674320455,NA,NA,NA,-1.654494113,3.541562925,NA,27,3.888357844,1.107629151,NA,11,0.091928251,NA,20,0.277631737,NA,20,20.56606862,NA,12,-3.091460995,0.864587193,40,-4.767689115,3.685814044,27,2.602687811,NA,0
Anzeindaz,1900,Anal,Trba,yes,Highland,Highland,Highland_Highland,Current,1.245666259,0.733075638,1.060395291,18,2.685522344,0.609437878,NA,0.697108083,10,0.357107226,NA,NA,NA,-3.199286485,3.541562925,NA,26,3.888357844,1.107629151,NA,7,0.091928251,NA,20,0.277631737,NA,20,20.56606843,NA,7,-3.091460995,0.864587193,40,-4.767689115,3.460095023,26,2.541367001,NA,0
Anzeindaz,1900,Anal,Brer,yes,Highland,Lowland,Lowland_Highland,Novel,0.336708193,0.163600456,1.060395291,21,2.680882292,0.511888806,NA,0.697108083,12,0.499057149,NA,NA,NA,-4.882954388,3.541562925,NA,21,3.888357844,1.107629151,NA,5,0.091928251,NA,20,0.277631737,NA,20,2.772588722,NA,6,-3.091460995,0.864587193,40,-4.767689115,3.24816419,21,2.478644026,NA,0
Anzeindaz,1900,Anal,Crbi,yes,Highland,Lowland,Lowland_Highland,Novel,0.233177236,-0.052715658,1.060395291,27,2.44366491,0.413810038,NA,0.697108083,15,0.56482617,NA,NA,NA,-3.173296217,3.541562925,NA,31,3.888357844,1.107629151,NA,15,0.091928251,NA,20,0.277631737,NA,20,20.56606829,NA,7,-3.091460995,0.864587193,40,-4.767689115,3.70865843,31,3.459789498,NA,0
Anzeindaz,1900,Anal,Daca,NA,Highland,Lowland,Lowland_Highland,Novel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
