species,origin,site,elevation,light.intercept.0cm,light.intercept.10cm,reproductive.height,max.vegetative.height,vegetative.height,leaf.area,leaf.dry.mass.content,specific.leaf.area,leaf.carbon.content,leaf.nitrogen.content,leaf.carbon13.delta,first.flowering.date,peak.flowering.date,last.flowering.date,root.mass.fraction,fine.root.proportion,fine.root.thickness,fine.root.density,specific.root.length,seed.mass
Anal,Highland,Les Posses,890,0.076471916,0.144159897,59.05,42.71,12.65,1475.194381,211.4511909,171.7637019,407.4674477,29.30972335,31.38556667,120,134,193,0.08225354,0.985931555,0.36020099,0.181090919,60.26445812,2.38325
Anal,Highland,Solalex,1400,0.043818368,0.246083952,63.8,39.65,11.25,1167.852944,183.8162618,175.8000021,413.570415,27.97620634,31.46654286,168,176,228,0.111089532,0.988268795,0.393246181,0.191455084,46.92437988,2.535
Anal,Highland,Anzeindaz,1900,0.044912281,0.18245614,39.7,24,8.12,1193.897583,190.0132461,169.8066786,393.9120973,23.16445104,30.80638571,183,191,268,0.106132092,0.992609759,0.341731369,0.197877195,51.23913895,2.459125
Armo,Highland,Les Posses,890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.043416667
Armo,Highland,Solalex,1400,NA,NA,NA,NA,NA,NA,NA,NA,389.7301673,15.25263744,30.59613333,NA,NA,NA,NA,NA,NA,NA,NA,1.043416667
Armo,Highland,Anzeindaz,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.043416667
Asal,Highland,Les Posses,890,0.066253372,0.506728573,25.65,21.4,10.1,571.3942233,253.4090926,170.5386238,446.865397,26.34436314,31.168825,75,110,178,0.475967707,0.991351663,0.535652246,0.226513094,20.33222586,1.3645
Asal,Highland,Solalex,1400,0.28228809,0.673489362,24.46666667,20.4,8.49,674.6901848,227.7921524,193.9883002,434.0371929,21.06472515,32.26015714,151,164,213,0.435920705,0.994036223,0.463195293,0.232392928,28.83371957,1.336333333
Asal,Highland,Anzeindaz,1900,0.051026489,0.234647359,23.175,15.685,6.845,458.1275898,255.3489568,165.7939475,435.6122485,18.4862277,31.81084286,178,186,239,0.234044525,0.996241027,0.475428684,0.218127837,26.66878775,1.350416667
Brer,Lowland,Les Posses,890,0.064820434,0.190802085,102.43,72.95,40.21,732.852381,386.390728,137.8120996,432.481294,15.3900874,30.04287857,104,124,180,0.171650224,0.999491035,0.247753511,0.294949622,78.01941756,4.53825
