species,origin,site,elevation,RH,VH,RMF,LA,LDMC,SLA,LN,LC,SM,FRP,FRD,SRL,FFD,δ13C,Light,PC1,PC2,PC3
Anal,Highland,Les Posses,890,0.821067882,0.441722966,-1.532256577,0.704719993,-0.726763054,-0.423309563,0.863375262,-1.900832834,0.901951016,0.28767268,-0.999340444,-0.282281828,-0.797534187,0.768845142,-1.431000614,-0.370426909,1.210296268,-1.102540722
Anal,Highland,Solalex,1400,0.982638441,0.237875648,-1.239582775,0.518266232,-1.237029797,-0.343680684,0.699434472,-1.472970895,1.008059572,0.328886717,-0.800298454,-0.692354778,0.689501668,0.825404064,-1.120287115,-0.234829773,1.330099187,-1.034620357
Anal,Highland,Anzeindaz,1900,-0.008065149,-0.328775251,-1.289898812,0.53586928,-1.116229655,-0.462254831,0.072697104,-2.87454752,0.955414608,0.405433671,-0.676962933,-0.548182673,1.154200372,0.360002642,-1.314255261,-0.188872894,1.269840621,-1.454653866
Asal,Highland,Les Posses,890,-0.920259599,0.050463433,2.463785052,-0.052248059,-0.067292048,-0.447662793,0.493405498,0.755438644,0.078220986,0.383248876,-0.127015479,-2.063055673,-2.1916303,0.616737953,-0.325717064,0.031866117,0.496163838,2.215446904
Asal,Highland,Solalex,1400,-1.018895012,-0.2513324,2.057323964,0.080375166,-0.45556052,0.004291043,-0.221144749,-0.082836285,0.051646322,0.430587418,-0.014094297,-1.49050856,0.162843136,1.372135316,0.182649952,0.305505916,0.732147162,1.320591507
Asal,Highland,Anzeindaz,1900,-1.132160388,-0.625644353,0.008361327,-0.228573055,-0.039508802,-0.542817431,-0.602827345,0.021412247,0.064968298,0.469466108,-0.288052894,-1.61843105,0.999300804,1.064271078,-1.155151349,0.063740631,0.620915008,0.444405338
Brer,Lowland,Les Posses,890,1.971304761,2.451636852,-0.624915921,0.146370399,1.469597585,-1.13408059,-1.098289476,-0.186188981,2.188088014,0.526775565,1.18729611,0.14091922,-1.293212805,-0.190860817,-1.288812811,-2.372007043,-0.126541817,-0.155542686
Brer,Lowland,Solalex,1400,1.441091739,1.512950849,1.625962558,-0.036668692,1.109723586,-0.709173013,-1.094951464,0.115259772,2.688660003,0.530669738,1.624339225,-0.30228332,0.038923481,0.080568662,0.327645653,-1.721904003,-0.058011258,0.866884404
Brer,Lowland,Anzeindaz,1900,1.413072106,1.689454579,-0.539299685,0.205180092,1.110197918,-0.635777819,-1.390063672,-0.187505214,2.444734059,0.524982877,0.3134064,-0.341764456,1.030280718,0.705396121,0.365083133,-1.527603926,0.180568598,-0.302416811
Crbi,Lowland,Les Posses,890,1.180898281,-0.091178416,0.135057705,1.032773954,-1.327784373,1.042701244,-0.016412194,-0.906734971,-0.260114662,0.227516343,-1.378696073,-0.029308056,-1.695951682,0.66358863,-0.541037245,0.248214915,1.066895275,-0.568509103
Crbi,Lowland,Solalex,1400,0.922030959,0.197381089,0.812861025,0.900174699,-1.701278433,1.265347107,-0.064437979,-1.578448682,-0.346505407,0.420966145,-1.522567385,-0.390201111,-0.023036346,0.471971266,-0.31413972,0.413581787,1.24633389,-0.773831971
Crbi,Lowland,Anzeindaz,1900,0.706025346,0.082854581,0.409825982,0.839440839,-1.300846936,0.763276056,-0.869570989,-1.502570476,-0.019617914,0.449083505,-1.376039968,-0.351647108,0.62754184,0.112435197,-0.618987773,0.052291405,1.043716936,-0.988985431
Daca,Lowland,Les Posses,890,1.169910977,-0.950333593,0.378580855,0.930697109,-0.023798352,-0.417354608,0.521941754,-0.003610943,-0.276577328,-2.977307504,-0.459129068,1.699629746,0.534602099,0.368759713,-1.405612799,0.128100299,0.74923617,-0.970695103
Daca,Lowland,Solalex,1400,1.169910977,-0.950333593,-0.278614776,0.990278824,-0.357111733,-0.483831015,-0.413170865,-0.213100646,-0.276577328,-3.30657069,-0.459129068,1.699629746,0.999300804,0.641317654,-1.405612799,-0.048448117,0.899778436,-1.376155148
Daca,Lowland,Anzeindaz,1900,0.82812899,-0.943787482,-0.367953157,1.330633451,-0.230602325,-0.305298147,-0.773783759,-1.293549249,-0.276577328,-0.579880049,-0.41226024,-0.241634588,1.618899077,0.441008189,-1.005275217,-0.180971675,0.95258017,-1.212891277
Melu,Lowland,Les Posses,890,-0.501194803,-0.688992038,-0.487263291,-0.92200131,0.510774372,1.186871548,1.429449323,1.066028432,0.643006566,0.49881005,-0.908977493,0.045776341,-0.642634619,0.482620319,1.178011273,1.132773961,-0.393898514,0.521970885
Melu,Lowland,Solalex,1400,-0.316436259,-0.546478842,-0.449247238,-0.861058468,0.088551636,1.473867757,2.166048688,1.453597798,0.643006566,0.407226658,0.52331252,-0.588603472,0.441662358,0.250529888,1.065698834,1.056003903,-0.325899514,0.900896387
Melu,Lowland,Anzeindaz,1900,-1.094210167,-0.675875066,-1.103523082,-0.821881925,0.425992348,1.686703636,1.473860346,1.45087454,0.643006566,0.477376433,-0.175302217,0.018708467,0.875381149,0.78919767,-1.314255262,1.011513054,0.024771887,0.307976205
Plal,Highland,Les Posses,890,-1.182780535,0.692078776,2.116160105,-0.412472249,-1.379963098,-1.087502327,-0.174611287,0.536876175,-0.173398924,-2.415210643,0.599397933,-1.049985999,-1.5100722,1.104380111,-0.777310706,-0.270544159,0.918061803,1.767098665
Plal,Highland,Solalex,1400,-1.064629642,0.391073488,0.3028815,-0.462887052,-1.154392058,-1.459425903,-0.814537718,-0.766181611,-0.277031333,-2.117994902,0.599397933,-1.049985999,0.038923481,0.781130532,0.64853834,-0.305997048,0.539764297,0.544878823
Plal,Highland,Anzeindaz,1900,-1.613984971,0.161925995,0.648310726,-0.488630517,-0.876633829,-1.79142714,-0.862440365,-0.04859747,-0.224620733,-1.07920321,-0.61376608,0.896291438,0.534602099,0.318121248,1.076395256,0.133242104,-0.090410441,0.161484452
Plla,Lowland,Les Posses,890,-0.579240245,0.716491368,-0.738521577,0.697654815,-0.527234964,-0.375139409,0.139419401,0.756837345,0.481867254,0.386801278,0.439536379,-0.598028826,-1.633991855,0.131349514,1.077933554,-0.310025817,-0.035822847,0.910853462
Plla,Lowland,Solalex,1400,-0.42718561,0.356239036,-0.856167477,0.764133279,-0.980170263,0.028080489,-0.053227353,0.786971463,0.481867254,0.48396229,0.420980932,-0.503937048,0.038923481,-0.184964458,0.921297124,-0.1057452,0.069540001,0.425467981
Plla,Lowland,Anzeindaz,1900,-0.203879585,0.721177034,-0.401252249,0.768930458,-0.751717741,-0.141296476,-0.642620262,0.304979568,0.481867254,0.310446977,0.156526665,-0.82869708,0.596561927,-0.092845734,0.737675198,-0.380129398,0.252537155,0.232115458
Poal,Highland,Les Posses,890,-0.120171359,0.170945887,-0.434080109,-0.700007174,1.159347444,-0.814023098,-0.539933811,0.184380517,-1.352529113,0.53212696,0.654461369,1.070168775,-1.107333323,-1.849912561,1.009358962,-0.317547377,-1.708231534,-0.19471441
Poal,Highland,Solalex,1400,0.21233711,0.492172673,-1.388765909,-0.752453689,0.866126716,-0.58145289,-1.026716804,-0.486347463,-1.400693127,0.535431009,-0.17770539,1.095966148,0.379702531,-0.668777084,0.889207855,-0.212876063,-1.183320284,-1.180648666
Poal,Highland,Anzeindaz,1900,0.351680625,0.184539625,-0.259999881,-0.475361844,1.205693318,-0.823463944,-1.722393928,0.10276014,-1.273773604,0.51614969,0.358093099,0.637618496,0.751461495,-1.33642711,0.974779238,-0.530605191,-1.367472507,-0.632932249
Potr,Lowland,Les Posses,890,0.422309255,-0.191827037,-0.18528157,-2.182022926,1.081098744,0.581368725,0.857626048,-0.144061717,-1.660509766,0.53575046,-0.948376603,2.716147339,-0.952433755,-1.484332567,1.178011273,0.958775634,-1.892544646,-1.080444183
Potr,Lowland,Solalex,1400,-0.058003707,-0.602166158,-1.413697584,-2.293586543,1.069609376,1.179005329,0.336378821,-0.547856037,-1.660509766,0.53575046,-0.701826019,1.925517715,0.255782877,-1.710381037,1.065698833,1.073410841,-1.879348708,-1.507818948
Potr,Lowland,Anzeindaz,1900,0.307227545,-0.513794429,-1.155262765,-2.156792144,1.161308997,0.619425972,-0.87612716,-0.895613648,-1.660509766,0.507345732,-0.835888939,1.495001563,0.96832089,-1.976719536,1.076395256,0.595018881,-1.819280534,-1.78929399
Sapr,Lowland,Les Posses,890,0.767939232,0.131705821,0.864236639,1.720660734,-0.468257947,0.345377988,1.098194908,0.750856565,-0.148810061,-0.565225935,0.178327971,-0.12732235,-1.448112373,-0.115959251,-0.647305014,-0.098711167,0.638497514,0.619027133
Sapr,Lowland,Solalex,1400,1.231272584,0.737864355,-0.345943685,1.96945295,-1.027442003,1.081748279,0.905805839,0.222678643,-0.209679273,0.204882036,-0.178265734,0.026488607,0.100883308,0.615030135,-1.629799736,-0.134115983,1.168155457,-0.457072244
Sapr,Lowland,Anzeindaz,1900,0.197418894,-0.854640224,0.450195495,1.255453237,-0.377859555,0.353322416,-0.104001517,0.946982785,-0.179044353,-0.194708039,0.25984793,-0.322018394,0.999300804,-0.060064896,0.907035227,0.31090305,0.188282548,0.329824644
Seca,Highland,Les Posses,890,-0.331412137,1.053328822,0.379449189,-0.110352367,1.691478895,-1.226101397,-0.98518559,1.369665993,0.022088629,0.534893481,2.335525609,0.257989824,-1.912811078,-3.162019313,-0.69264162,-1.638094886,-1.785559938,1.073565612
Seca,Highland,Solalex,1400,-0.331412137,1.053328822,-0.273973427,-0.326290475,1.868803354,-1.550202911,-0.459077999,0.917828704,-0.379768911,0.535675068,1.804548225,0.155168798,0.162843136,-1.193849106,-0.552062394,-1.208885034,-1.283011124,0.472290169
Seca,Highland,Anzeindaz,1900,0.00330108,1.225644347,-0.12215808,0.066558437,1.442711741,-0.804165144,-1.275237898,1.031947539,-0.235825034,0.517755659,3.161720304,-0.844792943,0.317742704,-0.809801781,-0.411447815,-1.589914193,-1.000059575,0.966762326
Trba,Highland,Les Posses,890,-1.731881826,-2.179232387,0.94488917,-0.724778486,-0.044512847,1.649351181,1.674375573,0.772059257,-0.551995072,0.242714397,-0.521007941,0.128001029,-0.797534187,0.624038069,1.178011273,2.039516668,-0.27517331,1.106999194
Trba,Highland,Solalex,1400,-1.731881826,-2.179232387,0.94488917,-0.724778486,-0.044512847,1.649351181,1.674375573,0.772059257,-0.551995072,0.242714397,-0.521007941,0.128001029,0.689501668,0.624038069,1.065698834,2.103017754,-0.206872996,0.819432152
Trba,Highland,Anzeindaz,1900,-1.731881826,-2.179232387,0.944889166,-0.724778486,-0.044512847,1.649351181,1.674375573,0.772059257,-0.381789092,0.244998292,-0.521007941,0.128001029,0.999300804,0.624038069,1.025587247,2.090778934,-0.166722675,0.775795465
